Time,Motion,Target,Details,Cam_Position,Cam_FocalPoint,Cam_Distance,Sister1,inside/outside_1,Number_of_neighbors,Sister2,inside/outside_2,Sister2_in_Neighborhood
178.563246,Rotate,MainView,-,"(339.74636801414624, -142.3974320543359, 30.229248406285105)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363336,116,outside,7,87,inside,-
178.579880,Rotate,MainView,-,"(339.74636801414624, -142.3974320543359, 30.229248406285105)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363336,116,outside,7,87,inside,-
178.716255,Rotate,MainView,-,"(339.74636801414624, -142.3974320543359, 30.229248406285105)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363336,116,outside,7,87,inside,-
178.730735,Rotate,MainView,-,"(338.7052850472687, -143.8468650529607, 28.10034026736018)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363336,116,outside,7,87,inside,-
178.733364,Rotate,MainView,-,"(339.9244377070387, -142.10147527632034, 26.31589611155685)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363325,116,outside,7,87,inside,-
178.746700,Rotate,MainView,-,"(335.56306549143443, -147.7580757921258, 17.804673882111395)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.32967082363325,116,outside,7,87,inside,-
178.763461,Rotate,MainView,-,"(328.43866709314426, -155.80868373645228, 5.069702162512378)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
178.780090,Rotate,MainView,-,"(320.6329596636113, -163.31863245728917, -7.596017210848654)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
178.796468,Rotate,MainView,-,"(317.8833003697484, -165.69820063784854, -11.796526687925516)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
178.813178,Rotate,MainView,-,"(317.1845240426441, -166.28326153094497, -12.84469866090022)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.319675,Rotate,MainView,-,"(317.1845240426441, -166.28326153094497, -12.84469866090022)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.323072,Rotate,MainView,-,"(317.1845240426441, -166.28326153094497, -12.84469866090022)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.330268,Rotate,MainView,-,"(316.4812295919138, -166.86436757329628, -13.892048541311068)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.346899,Rotate,MainView,-,"(313.40199753203467, -171.1954502939275, -9.421093036175868)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.364162,Rotate,MainView,-,"(296.3697566794715, -191.29326093294338, 13.17466322473172)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
179.380184,Rotate,MainView,-,"(274.2324666031184, -206.1823460228951, -16.968210941189216)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236333,116,outside,7,87,inside,-
179.397148,Rotate,MainView,-,"(242.47223307770707, -219.1358142930018, -53.28169577453815)","(79.87014865875244, 41.44521427154541, 30.33570086956024)",318.3296708236332,116,outside,7,87,inside,-
