Time,Motion,Target,Details,Cam_Position,Cam_FocalPoint,Cam_Distance,Sister1,inside/outside_1,Number_of_neighbors,Sister2,inside/outside_2,Sister2_in_Neighborhood
84.532645,Rotate,MainView,-,"(-69.8359662016523, 122.19531029521877, 202.38910364211742)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793786,101,inside,11,73,inside,-
84.639199,Rotate,MainView,-,"(-92.23907148005807, 96.17656349481534, 198.10675680707735)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,73,inside,-
84.733874,Rotate,MainView,-,"(-103.82299826360145, 80.49886643064414, 193.94101399367867)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793786,101,inside,11,73,inside,-
84.826598,Rotate,MainView,-,"(-84.63472121113337, 61.22311707738071, 213.59108962718074)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.5080416179378,101,inside,11,73,inside,-
84.947894,Rotate,MainView,-,"(-64.24535076371689, 42.517625703916906, 228.56129547255898)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793778,101,inside,11,73,inside,-
85.034733,Rotate,MainView,-,"(-51.043783004132266, 31.13581804217268, 235.82774482161284)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793778,101,inside,11,73,inside,-
85.434201,Rotate,MainView,-,"(-30.09163161690444, 14.022774427238708, 244.19727762051448)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793778,101,inside,11,73,inside,-
85.540138,Rotate,MainView,-,"(46.972550991323175, -41.10180817782748, 248.97477847355978)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.5080416179378,101,inside,11,73,inside,-
85.638711,Rotate,MainView,-,"(80.03890915686885, -61.492556557672316, 240.1754656361704)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.5080416179378,101,inside,11,73,inside,-
85.730587,Rotate,MainView,-,"(100.56523113365819, -73.17089144640956, 231.45543910480086)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793775,101,inside,11,73,inside,-
85.837975,Rotate,MainView,-,"(117.26264977011404, -82.0800681834529, 222.39721374928328)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793778,101,inside,11,73,inside,-
85.949390,Rotate,MainView,-,"(147.49044299317444, -96.69571776601965, 200.96691108282383)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.5080416179378,101,inside,11,73,inside,-
86.037002,Rotate,MainView,-,"(159.46935674595883, -101.86498604105614, 190.40305668996587)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,73,inside,-
86.145166,Rotate,MainView,-,"(169.51819594477777, -105.8788958705866, 180.46871024419812)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,73,inside,-
86.971535,Click,MainView,63,"(169.51819594477777, -105.8788958705866, 180.46871024419812)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,63,inside,-
87.058601,Rotate,MainView,-,"(156.80623556195803, -122.85810658491759, 174.51614808836106)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793786,101,inside,11,63,inside,-
87.174575,Rotate,MainView,-,"(94.46064165596667, -179.47629081998275, 135.50979103678532)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.5080416179379,101,inside,11,63,inside,-
87.249292,Rotate,MainView,-,"(69.14699788771469, -193.01782877983368, 116.19505587291702)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793786,101,inside,11,63,inside,-
87.366252,Rotate,MainView,-,"(43.45181855758359, -202.03160287813716, 94.8473992968061)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,63,inside,-
87.451549,Rotate,MainView,-,"(71.51501645254629, -209.29014028646196, 64.55986364246773)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.5080416179378,101,inside,11,63,inside,-
87.556188,Rotate,MainView,-,"(77.7722875333073, -209.9427148419967, 57.51627488886691)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793778,101,inside,11,63,inside,-
87.661060,Rotate,MainView,-,"(90.15207473507144, -210.1571824184864, 43.25713411531814)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793778,101,inside,11,63,inside,-
87.757544,Rotate,MainView,-,"(100.95454099119354, -209.1266741549482, 30.44871874363483)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.5080416179378,101,inside,11,63,inside,-
87.853728,Rotate,MainView,-,"(101.62210814097763, -209.0241921669294, 29.645525012049433)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.5080416179378,101,inside,11,63,inside,-
88.758285,Rotate,MainView,-,"(103.954841913559, -208.39685363411746, 31.664458235976966)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,63,inside,-
88.859590,Rotate,MainView,-,"(169.21950064844592, -170.45862895048185, 90.80724068574855)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,63,inside,-
88.954376,Rotate,MainView,-,"(202.17234178506655, -128.31151846788816, 123.66621806510649)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,63,inside,-
89.058174,Rotate,MainView,-,"(204.93132063875785, -123.46505474095959, 126.58910947333526)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,63,inside,-
89.257510,Rotate,MainView,-,"(204.93132063875785, -123.46505474095959, 126.58910947333526)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,63,inside,-
89.259581,Rotate,MainView,-,"(203.5649264194146, -125.90127842651351, 125.136844744554)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,63,inside,-
89.261054,Rotate,MainView,-,"(203.1036298960393, -126.70759933168878, 124.64866368880071)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793783,101,inside,11,63,inside,-
89.262460,Rotate,MainView,-,"(201.22951944801957, -129.90370567706464, 122.6757235036264)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.5080416179378,101,inside,11,63,inside,-
89.266207,Rotate,MainView,-,"(200.27523468446958, -131.48403970799794, 121.67725543435618)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793778,101,inside,11,63,inside,-
89.270034,Rotate,MainView,-,"(199.309560166896, -133.05240021213302, 120.67088989450504)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793775,101,inside,11,63,inside,-
89.285002,Rotate,MainView,-,"(195.33444824597345, -139.2037320941723, 116.56799470039896)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793778,101,inside,11,63,inside,-
89.301486,Rotate,MainView,-,"(203.56492641941452, -125.90127842651347, 125.13684474455397)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793775,101,inside,11,63,inside,-
89.317921,Rotate,MainView,-,"(204.9313206387578, -123.46505474095957, 126.58910947333523)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",240.50804161793775,101,inside,11,63,inside,-
89.668502,ZoomIn,MainView,-,"(178.16613294278773, -97.56926190562004, 107.73840246918729)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",198.7669765437502,101,inside,11,63,inside,-
89.734667,ZoomIn,MainView,-,"(156.0461431114075, -76.16778022352125, 92.15930577154437)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",164.27022854855383,101,inside,11,63,inside,-
89.818188,ZoomIn,MainView,-,"(137.7651597796883, -58.48060527963795, 79.28401924456675)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",135.7605194616147,101,inside,11,63,inside,-
90.616401,Click,MainView,101,"(137.7651597796883, -58.48060527963795, 79.28401924456675)","(50.71285820007324, 25.744037310282387, 17.97313102086385)",135.7605194616147,101,inside,11,63,inside,-
